"algorithm","fun","dimension","ert","precision","rank"
"DIRECT",4,2,8781.2,1e-06,18
"DE-PSO",4,2,9671,1e-06,19
"ALPS",4,2,10139.27,1e-06,20
"One-Fifth Variant3",4,2,10715.2,1e-06,21
"EDA-PSO",4,2,10873.27,1e-06,22
"(mu+lambda) CMA-ES",4,2,12361.16,1e-06,23
"(1 4) CMA-ES",4,2,12504.25,1e-06,24
"fminsearch",4,2,12534.07,1e-06,25
"(1 4_m) CMA-ES",4,2,13526.31,1e-06,26
"NBC-CMA",4,2,14119.13,1e-06,27
"(1 2_m) CMA-ES",4,2,15090,1e-06,28
"PSO_Bounds",4,2,16167.6,1e-06,29
"POEMS",4,2,21395.13,1e-06,30
"(1+1) CMA-ES",4,2,22138.88,1e-06,31
"(1 2_m^s) CMA-ES",4,2,22817.1,1e-06,32
"Local Search - Rosenbrock",4,2,23962.86,1e-06,33
"oPOEMS",4,2,24534.13,1e-06,34
"AMALGAM",4,2,25440.33,1e-06,35
"iAMALGAM",4,2,30131.53,1e-06,36
"(1 2^s) CMA-ES",4,2,34303.43,1e-06,37
"G3PCX",4,2,35117.36,1e-06,38
"(1 2) CMA-ES",4,2,36729.83,1e-06,39
"Simple GA",4,2,45357.93,1e-06,40
"IPOP-ACTCMA-ES",4,2,47288.8,1e-06,41
"DE-F-AUC",4,2,51555.42,1e-06,42
"BIPOP-CMA-ES",4,2,54478.47,1e-06,43
"DEuniform",4,2,74253,1e-06,44
"IPOP-CMA-ES",4,2,95049.07,1e-06,45
"nPOEMS",4,2,113163.5,1e-06,46
"PM-AdapSS-DE",4,2,134765.9,1e-06,47
"IPOP-SEP-CMA-ES",4,2,140420.5,1e-06,48
"Cauchy-EDA",4,2,245118.2,1e-06,49
"CMA-EGS",4,2,2828059,1e-06,50
"Line Search - STEP",4,2,565.8667,1e-07,1
"MCS",4,2,1487.6,1e-07,2
"Nelder-Doerr",4,2,1704.4,1e-07,3
"DASA",4,2,1934.467,1e-07,4
"MA-LS-CHAIN",4,2,2318.267,1e-07,5
"GLOBAL",4,2,2444.571,1e-07,6
"Artificial Bee Colony",4,2,3190.433,1e-07,7
"MOS",4,2,4301.533,1e-07,8
"BFGS",4,2,5552.5,1e-07,9
"(1+2_m^s) CMA-ES",4,2,6121.071,1e-07,10
"PSO",4,2,6184.533,1e-07,11
"AVGNEWUOA",4,2,6402.615,1e-07,12
"FULLNEWUOA",4,2,6983.75,1e-07,13
"NEWUOA",4,2,8148.4,1e-07,14
"(1 4_m^s) CMA-ES",4,2,8560.538,1e-07,15
"(1 4^s) CMA-ES",4,2,8600.462,1e-07,16
"DIRECT",4,2,8934.6,1e-07,17
"VNS",4,2,9706.2,1e-07,18
"One-Fifth Variant3",4,2,10739.2,1e-07,19
"EDA-PSO",4,2,11250,1e-07,20
"ALPS",4,2,11537.6,1e-07,21
"(mu+lambda) CMA-ES",4,2,12386.32,1e-07,22
"(1 4) CMA-ES",4,2,12531.58,1e-07,23
"fminsearch",4,2,12543.33,1e-07,24
"(1 4_m) CMA-ES",4,2,13560.08,1e-07,25
"NBC-CMA",4,2,14188.4,1e-07,26
"(1 2_m) CMA-ES",4,2,15165.45,1e-07,27
"PSO_Bounds",4,2,18722.93,1e-07,28
"DE-PSO",4,2,19883,1e-07,29
"(1+1) CMA-ES",4,2,22160.5,1e-07,30
"(1 2_m^s) CMA-ES",4,2,22861.3,1e-07,31
"POEMS",4,2,23082.33,1e-07,32
"Local Search - Rosenbrock",4,2,23969.57,1e-07,33
"AMALGAM",4,2,25664.2,1e-07,34
"oPOEMS",4,2,26542.27,1e-07,35
"iAMALGAM",4,2,30371.93,1e-07,36
"(1 2^s) CMA-ES",4,2,34351,1e-07,37
"G3PCX",4,2,35155.14,1e-07,38
"(1 2) CMA-ES",4,2,36789.5,1e-07,39
"IPOP-ACTCMA-ES",4,2,47820.13,1e-07,40
"DE-F-AUC",4,2,51647.92,1e-07,41
"Simple GA",4,2,59256.2,1e-07,42
"BIPOP-CMA-ES",4,2,59944.27,1e-07,43
"DEuniform",4,2,74315.45,1e-07,44
"IPOP-CMA-ES",4,2,96660.07,1e-07,45
"nPOEMS",4,2,122160,1e-07,46
"PM-AdapSS-DE",4,2,134843.3,1e-07,47
"IPOP-SEP-CMA-ES",4,2,140682.5,1e-07,48
"Cauchy-EDA",4,2,245275.6,1e-07,49
"CMA-EGS",4,2,2828125,1e-07,50
"Line Search - STEP",4,2,568.7333,1e-08,1
"Nelder-Doerr",4,2,1811.4,1e-08,2
"DASA",4,2,1984.8,1e-08,3
"MCS",4,2,2178.2,1e-08,4
"MA-LS-CHAIN",4,2,2358.267,1e-08,5
"GLOBAL",4,2,2589.714,1e-08,6
"Artificial Bee Colony",4,2,3476.033,1e-08,7
"MOS",4,2,4580.2,1e-08,8
"(1+2_m^s) CMA-ES",4,2,6146.071,1e-08,9
"AVGNEWUOA",4,2,6409.615,1e-08,10
"BFGS",4,2,6551.667,1e-08,11
"PSO",4,2,6811.467,1e-08,12
"FULLNEWUOA",4,2,6989.917,1e-08,13
"NEWUOA",4,2,8155.1,1e-08,14
"(1 4_m^s) CMA-ES",4,2,8587.154,1e-08,15
"(1 4^s) CMA-ES",4,2,8629.462,1e-08,16
"DIRECT",4,2,9045,1e-08,17
"One-Fifth Variant3",4,2,10768.87,1e-08,18
"EDA-PSO",4,2,11723.2,1e-08,19
"(mu+lambda) CMA-ES",4,2,12411.42,1e-08,20
"fminsearch",4,2,12553.47,1e-08,21
"(1 4) CMA-ES",4,2,12575.5,1e-08,22
"ALPS",4,2,13063.73,1e-08,23
"(1 4_m) CMA-ES",4,2,13599.69,1e-08,24
"NBC-CMA",4,2,14254.53,1e-08,25
"(1 2_m) CMA-ES",4,2,15208.36,1e-08,26
"(1+1) CMA-ES",4,2,22184.12,1e-08,27
"PSO_Bounds",4,2,22879.13,1e-08,28
"(1 2_m^s) CMA-ES",4,2,22919,1e-08,29
"Local Search - Rosenbrock",4,2,23980.71,1e-08,30
"POEMS",4,2,24249.33,1e-08,31
"AMALGAM",4,2,25889.53,1e-08,32
"VNS",4,2,26228.47,1e-08,33
"oPOEMS",4,2,27678.07,1e-08,34
"iAMALGAM",4,2,30589.47,1e-08,35
"(1 2^s) CMA-ES",4,2,34394.71,1e-08,36
"G3PCX",4,2,35187.29,1e-08,37
"(1 2) CMA-ES",4,2,36811.83,1e-08,38
"IPOP-ACTCMA-ES",4,2,49320.87,1e-08,39
"DE-F-AUC",4,2,51742.58,1e-08,40
"BIPOP-CMA-ES",4,2,61301.67,1e-08,41
"Simple GA",4,2,72535.33,1e-08,42
"DEuniform",4,2,74405.27,1e-08,43
"IPOP-CMA-ES",4,2,98152.57,1e-08,44
"nPOEMS",4,2,133275.9,1e-08,45
"PM-AdapSS-DE",4,2,134938.9,1e-08,46
"IPOP-SEP-CMA-ES",4,2,140885.5,1e-08,47
"Cauchy-EDA",4,2,245388,1e-08,48
"CMA-EGS",4,2,2828147,1e-08,49
"Line Search - STEP",4,3,952.1333,0.001,1
"DASA",4,3,1932.533,0.001,2
"Artificial Bee Colony",4,3,3286,0.001,3
"MOS",4,3,5706.6,0.001,4
"ALPS",4,3,18121.87,0.001,5
"VNS",4,3,18441.13,0.001,6
"PSO_Bounds",4,3,34249.73,0.001,7
"Nelder-Doerr",4,3,37047.33,0.001,8
"Simple GA",4,3,39857.87,0.001,9
"oPOEMS",4,3,40954.53,0.001,10
"DE-PSO",4,3,43679,0.001,11
"GLOBAL",4,3,43835,0.001,12
"POEMS",4,3,45379.53,0.001,13
"(1 4^s) CMA-ES",4,3,49818.86,0.001,14
"MA-LS-CHAIN",4,3,52442.5,0.001,15
"(1+2_m^s) CMA-ES",4,3,54454.5,0.001,16
"MCS",4,3,58000.89,0.001,17
"(1 4_m^s) CMA-ES",4,3,61609.33,0.001,18
"DIRECT",4,3,78918,0.001,19
"PSO",4,3,87081,0.001,20
"NBC-CMA",4,3,90319.73,0.001,21
"(1 4) CMA-ES",4,3,94689.5,0.001,22
"EDA-PSO",4,3,99392.75,0.001,23
"(1 4_m) CMA-ES",4,3,104588.2,0.001,24
"nPOEMS",4,3,116469.9,0.001,25
"Local Search - Rosenbrock",4,3,120190.7,0.001,26
"(mu+lambda) CMA-ES",4,3,130521,0.001,27
"(1 2_m) CMA-ES",4,3,132423.3,0.001,28
"AVGNEWUOA",4,3,140678.5,0.001,29
"FULLNEWUOA",4,3,143223,0.001,30
"One-Fifth Variant3",4,3,197425,0.001,31
"(1 2_m^s) CMA-ES",4,3,203929,0.001,32
"(1+1) CMA-ES",4,3,204437,0.001,33
"NEWUOA",4,3,261906,0.001,34
"fminsearch",4,3,278522.1,0.001,35
"G3PCX",4,3,372726.8,0.001,36
"(1 2^s) CMA-ES",4,3,428370,0.001,37
"DEuniform",4,3,454497.3,0.001,38
"iAMALGAM",4,3,758778.6,0.001,39
"PM-AdapSS-DE",4,3,830408,0.001,40
"AMALGAM",4,3,881835.1,0.001,41
"DE-F-AUC",4,3,1204191,0.001,42
"BIPOP-CMA-ES",4,3,3731332,0.001,43
"IPOP-CMA-ES",4,3,3926776,0.001,44
"Line Search - STEP",4,3,989.2667,1e-04,1
"DASA",4,3,2029.667,1e-04,2
"Artificial Bee Colony",4,3,3857.133,1e-04,3
"MOS",4,3,6103.133,1e-04,4
"VNS",4,3,19737.67,1e-04,5
"ALPS",4,3,20666.33,1e-04,6
"Nelder-Doerr",4,3,37065.92,1e-04,7
"PSO_Bounds",4,3,37509.33,1e-04,8
"GLOBAL",4,3,43850,1e-04,9
"DE-PSO",4,3,44076,1e-04,10
"oPOEMS",4,3,45210.8,1e-04,11
"(1 4^s) CMA-ES",4,3,49852.57,1e-04,12
"POEMS",4,3,50250.8,1e-04,13
"MA-LS-CHAIN",4,3,52542.62,1e-04,14
"Simple GA",4,3,53760.13,1e-04,15
"(1+2_m^s) CMA-ES",4,3,54486,1e-04,16
"MCS",4,3,58056,1e-04,17
"(1 4_m^s) CMA-ES",4,3,61645.33,1e-04,18
"PSO",4,3,87845.17,1e-04,19
"NBC-CMA",4,3,90411.2,1e-04,20
"(1 4) CMA-ES",4,3,94757.25,1e-04,21
"EDA-PSO",4,3,100551.3,1e-04,22
"(1 4_m) CMA-ES",4,3,104643.8,1e-04,23
"Local Search - Rosenbrock",4,3,120206,1e-04,24
"(mu+lambda) CMA-ES",4,3,130546,1e-04,25
"(1 2_m) CMA-ES",4,3,132486.7,1e-04,26
"AVGNEWUOA",4,3,140705,1e-04,27
"FULLNEWUOA",4,3,143237.5,1e-04,28
"nPOEMS",4,3,146953.5,1e-04,29
"DIRECT",4,3,166006,1e-04,30
"One-Fifth Variant3",4,3,197466.6,1e-04,31
"(1 2_m^s) CMA-ES",4,3,203983,1e-04,32
"(1+1) CMA-ES",4,3,204464.5,1e-04,33
"NEWUOA",4,3,261917,1e-04,34
"fminsearch",4,3,278539.6,1e-04,35
"G3PCX",4,3,372810.8,1e-04,36
"(1 2^s) CMA-ES",4,3,428517,1e-04,37
"DEuniform",4,3,454722.7,1e-04,38
"iAMALGAM",4,3,762651.3,1e-04,39
"PM-AdapSS-DE",4,3,830922,1e-04,40
"AMALGAM",4,3,890023.1,1e-04,41
"DE-F-AUC",4,3,1204395,1e-04,42
"BIPOP-CMA-ES",4,3,3731389,1e-04,43
"IPOP-CMA-ES",4,3,3926878,1e-04,44
"Line Search - STEP",4,3,1014.933,1e-05,1
"DASA",4,3,2148.267,1e-05,2
"Artificial Bee Colony",4,3,4445.6,1e-05,3
"MOS",4,3,6556.067,1e-05,4
"VNS",4,3,22564.27,1e-05,5
"ALPS",4,3,23138.53,1e-05,6
"Nelder-Doerr",4,3,37162.25,1e-05,7
"PSO_Bounds",4,3,39371.07,1e-05,8
"GLOBAL",4,3,43870,1e-05,9
"DE-PSO",4,3,44381,1e-05,10
"oPOEMS",4,3,48462.47,1e-05,11
"(1 4^s) CMA-ES",4,3,49884.43,1e-05,12
"MA-LS-CHAIN",4,3,52708.5,1e-05,13
"POEMS",4,3,53454.73,1e-05,14
"(1+2_m^s) CMA-ES",4,3,54525.33,1e-05,15
"MCS",4,3,58087.44,1e-05,16
"(1 4_m^s) CMA-ES",4,3,61674.17,1e-05,17
"Simple GA",4,3,64360.67,1e-05,18
"PSO",4,3,88640.83,1e-05,19
"NBC-CMA",4,3,90523.53,1e-05,20
"(1 4) CMA-ES",4,3,94825.5,1e-05,21
"EDA-PSO",4,3,101759.6,1e-05,22
"(1 4_m) CMA-ES",4,3,104686.8,1e-05,23
"Local Search - Rosenbrock",4,3,120230.7,1e-05,24
"(mu+lambda) CMA-ES",4,3,130594,1e-05,25
"(1 2_m) CMA-ES",4,3,132573.7,1e-05,26
"AVGNEWUOA",4,3,140729,1e-05,27
"FULLNEWUOA",4,3,143263.5,1e-05,28
"nPOEMS",4,3,165722.8,1e-05,29
"DIRECT",4,3,184793.5,1e-05,30
"One-Fifth Variant3",4,3,197504.5,1e-05,31
"(1 2_m^s) CMA-ES",4,3,204047,1e-05,32
"(1+1) CMA-ES",4,3,204493.5,1e-05,33
"NEWUOA",4,3,261958,1e-05,34
"fminsearch",4,3,278561.4,1e-05,35
"G3PCX",4,3,372852,1e-05,36
"(1 2^s) CMA-ES",4,3,428567,1e-05,37
"DEuniform",4,3,454971,1e-05,38
"iAMALGAM",4,3,767424.6,1e-05,39
"PM-AdapSS-DE",4,3,848487,1e-05,40
"AMALGAM",4,3,895786.9,1e-05,41
"DE-F-AUC",4,3,1204692,1e-05,42
"BIPOP-CMA-ES",4,3,3731488,1e-05,43
"IPOP-CMA-ES",4,3,3926968,1e-05,44
"Line Search - STEP",4,3,1037.6,1e-06,1
"DASA",4,3,2242.467,1e-06,2
"Artificial Bee Colony",4,3,5052.133,1e-06,3
"MOS",4,3,6965.933,1e-06,4
"ALPS",4,3,25131.33,1e-06,5
"VNS",4,3,33542.47,1e-06,6
"Nelder-Doerr",4,3,37766.42,1e-06,7
"GLOBAL",4,3,43879,1e-06,8
"PSO_Bounds",4,3,43962,1e-06,9
"DE-PSO",4,3,44585,1e-06,10
"(1 4^s) CMA-ES",4,3,49923.14,1e-06,11
"oPOEMS",4,3,52028.67,1e-06,12
"MA-LS-CHAIN",4,3,52842.75,1e-06,13
"(1+2_m^s) CMA-ES",4,3,54547.33,1e-06,14
"POEMS",4,3,56893.2,1e-06,15
"MCS",4,3,58116,1e-06,16
"(1 4_m^s) CMA-ES",4,3,61697,1e-06,17
"Simple GA",4,3,78478.53,1e-06,18
"PSO",4,3,89572.33,1e-06,19
"NBC-CMA",4,3,90636.93,1e-06,20
"(1 4) CMA-ES",4,3,94881.5,1e-06,21
"EDA-PSO",4,3,102916.8,1e-06,22
"(1 4_m) CMA-ES",4,3,104742.2,1e-06,23
"Local Search - Rosenbrock",4,3,120254.7,1e-06,24
"(mu+lambda) CMA-ES",4,3,130629,1e-06,25
"(1 2_m) CMA-ES",4,3,132692.3,1e-06,26
"AVGNEWUOA",4,3,140747,1e-06,27
"FULLNEWUOA",4,3,143286,1e-06,28
"DIRECT",4,3,190523.5,1e-06,29
"nPOEMS",4,3,193891.9,1e-06,30
"One-Fifth Variant3",4,3,197539.8,1e-06,31
"(1 2_m^s) CMA-ES",4,3,204118,1e-06,32
"(1+1) CMA-ES",4,3,204527.5,1e-06,33
"NEWUOA",4,3,261973,1e-06,34
"fminsearch",4,3,278581.1,1e-06,35
"G3PCX",4,3,372938.2,1e-06,36
"(1 2^s) CMA-ES",4,3,428674,1e-06,37
"DEuniform",4,3,455188,1e-06,38
"iAMALGAM",4,3,771882,1e-06,39
"PM-AdapSS-DE",4,3,848817,1e-06,40
"AMALGAM",4,3,905476.6,1e-06,41
"DE-F-AUC",4,3,1204938,1e-06,42
"BIPOP-CMA-ES",4,3,3731598,1e-06,43
"IPOP-CMA-ES",4,3,3927075,1e-06,44
"Line Search - STEP",4,3,1043.533,1e-07,1
"DASA",4,3,2362.4,1e-07,2
"Artificial Bee Colony",4,3,5395.267,1e-07,3
"MOS",4,3,7349.867,1e-07,4
"ALPS",4,3,27756.73,1e-07,5
"Nelder-Doerr",4,3,37903.08,1e-07,6
"GLOBAL",4,3,43901,1e-07,7
"DE-PSO",4,3,44911,1e-07,8
"(1 4^s) CMA-ES",4,3,49957.57,1e-07,9
"VNS",4,3,52518.6,1e-07,10
"PSO_Bounds",4,3,52869.4,1e-07,11
"MA-LS-CHAIN",4,3,53098.62,1e-07,12
"(1+2_m^s) CMA-ES",4,3,54580.83,1e-07,13
"oPOEMS",4,3,55573.27,1e-07,14
"MCS",4,3,58137.11,1e-07,15
"POEMS",4,3,59098.13,1e-07,16
"(1 4_m^s) CMA-ES",4,3,61744.67,1e-07,17
"PSO",4,3,90429.08,1e-07,18
"NBC-CMA",4,3,90759.33,1e-07,19
"(1 4) CMA-ES",4,3,94912.75,1e-07,20
"EDA-PSO",4,3,104326.6,1e-07,21
"(1 4_m) CMA-ES",4,3,104806.5,1e-07,22
"Simple GA",4,3,118746.1,1e-07,23
"Local Search - Rosenbrock",4,3,120279,1e-07,24
"(mu+lambda) CMA-ES",4,3,130648.7,1e-07,25
"(1 2_m) CMA-ES",4,3,132776.7,1e-07,26
"AVGNEWUOA",4,3,140771,1e-07,27
"FULLNEWUOA",4,3,143289.5,1e-07,28
"DIRECT",4,3,191702,1e-07,29
"One-Fifth Variant3",4,3,197583.7,1e-07,30
"(1 2_m^s) CMA-ES",4,3,204169,1e-07,31
"(1+1) CMA-ES",4,3,204560.5,1e-07,32
"nPOEMS",4,3,220669.7,1e-07,33
"NEWUOA",4,3,261989,1e-07,34
"fminsearch",4,3,278601.4,1e-07,35
"G3PCX",4,3,372987.4,1e-07,36
"(1 2^s) CMA-ES",4,3,428698,1e-07,37
"DEuniform",4,3,455374.2,1e-07,38
"iAMALGAM",4,3,776174.4,1e-07,39
"PM-AdapSS-DE",4,3,849053.8,1e-07,40
"AMALGAM",4,3,911217.3,1e-07,41
"DE-F-AUC",4,3,1205091,1e-07,42
"BIPOP-CMA-ES",4,3,3731710,1e-07,43
"IPOP-CMA-ES",4,3,3927146,1e-07,44
"DASA",4,3,2464.4,1e-08,1
"Artificial Bee Colony",4,3,5944.6,1e-08,2
"MOS",4,3,7736.333,1e-08,3
"Line Search - STEP",4,3,8534.667,1e-08,4
"ALPS",4,3,30477.4,1e-08,5
"Nelder-Doerr",4,3,37988.33,1e-08,6
"GLOBAL",4,3,43901,1e-08,7
"DE-PSO",4,3,45265,1e-08,8
"(1 4^s) CMA-ES",4,3,50005.71,1e-08,9
"MA-LS-CHAIN",4,3,53159.12,1e-08,10
"(1+2_m^s) CMA-ES",4,3,54616,1e-08,11
"oPOEMS",4,3,57538.07,1e-08,12
"PSO_Bounds",4,3,60236.33,1e-08,13
"(1 4_m^s) CMA-ES",4,3,61782.17,1e-08,14
"POEMS",4,3,62391.8,1e-08,15
"NBC-CMA",4,3,90857.73,1e-08,16
"PSO",4,3,91123.92,1e-08,17
"(1 4) CMA-ES",4,3,94987.5,1e-08,18
"MCS",4,3,104557,1e-08,19
"(1 4_m) CMA-ES",4,3,104860,1e-08,20
"EDA-PSO",4,3,105422.1,1e-08,21
"VNS",4,3,108786.3,1e-08,22
"Local Search - Rosenbrock",4,3,120308.3,1e-08,23
"(mu+lambda) CMA-ES",4,3,130683.7,1e-08,24
"(1 2_m) CMA-ES",4,3,132882.7,1e-08,25
"AVGNEWUOA",4,3,140796.5,1e-08,26
"Simple GA",4,3,141911.4,1e-08,27
"FULLNEWUOA",4,3,143307,1e-08,28
"DIRECT",4,3,191979.5,1e-08,29
"One-Fifth Variant3",4,3,197630.2,1e-08,30
"(1 2_m^s) CMA-ES",4,3,204208.5,1e-08,31
"(1+1) CMA-ES",4,3,204600.5,1e-08,32
"nPOEMS",4,3,243578,1e-08,33
"NEWUOA",4,3,262016,1e-08,34
"fminsearch",4,3,278617.7,1e-08,35
"G3PCX",4,3,373016.8,1e-08,36
"(1 2^s) CMA-ES",4,3,428774,1e-08,37
"DEuniform",4,3,455680.8,1e-08,38
"iAMALGAM",4,3,781144.3,1e-08,39
"PM-AdapSS-DE",4,3,849316,1e-08,40
"AMALGAM",4,3,917862.8,1e-08,41
"DE-F-AUC",4,3,1205320,1e-08,42
"BIPOP-CMA-ES",4,3,3731774,1e-08,43
"IPOP-CMA-ES",4,3,3927283,1e-08,44
"Line Search - STEP",4,5,1817.267,0.001,1
"Artificial Bee Colony",4,5,7756.867,0.001,2
"DASA",4,5,10229.53,0.001,3
"MOS",4,5,11033.6,0.001,4
"VNS",4,5,70952.8,0.001,5
"Simple GA",4,5,74713.87,0.001,6
"POEMS",4,5,85025.47,0.001,7
"ALPS",4,5,104775.8,0.001,8
"PSO_Bounds",4,5,204576,0.001,9
"oPOEMS",4,5,211065.8,0.001,10
"nPOEMS",4,5,218831.7,0.001,11
"MA-LS-CHAIN",4,5,296724.6,0.001,12
"(1 4^s) CMA-ES",4,5,731620,0.001,13
"Nelder-Doerr",4,5,1468016,0.001,14
"NBC-CMA",4,5,2113994,0.001,15
"DEuniform",4,5,3277318,0.001,16
"PSO",4,5,7012268,0.001,17
"One-Fifth Variant3",4,5,34127800,0.001,18
"Line Search - STEP",4,5,1850.8,1e-04,1
"Artificial Bee Colony",4,5,8544,1e-04,2
"DASA",4,5,10422.13,1e-04,3
"MOS",4,5,11766.4,1e-04,4
"POEMS",4,5,91041.2,1e-04,5
"Simple GA",4,5,91561.27,1e-04,6
"VNS",4,5,92140.73,1e-04,7
"ALPS",4,5,108093.7,1e-04,8
"PSO_Bounds",4,5,209179.8,1e-04,9
"oPOEMS",4,5,218638,1e-04,10
"nPOEMS",4,5,260832.8,1e-04,11
"MA-LS-CHAIN",4,5,297073.8,1e-04,12
"(1 4^s) CMA-ES",4,5,731662,1e-04,13
"Nelder-Doerr",4,5,1468288,1e-04,14
"NBC-CMA",4,5,2114140,1e-04,15
"DEuniform",4,5,3278034,1e-04,16
"PSO",4,5,7013315,1e-04,17
"One-Fifth Variant3",4,5,34127880,1e-04,18
"Line Search - STEP",4,5,1885.867,1e-05,1
"Artificial Bee Colony",4,5,9208.267,1e-05,2
"DASA",4,5,10665.8,1e-05,3
"MOS",4,5,12372.73,1e-05,4
"POEMS",4,5,97560.27,1e-05,5
"VNS",4,5,102135.5,1e-05,6
"Simple GA",4,5,108892.5,1e-05,7
"ALPS",4,5,111271.1,1e-05,8
"PSO_Bounds",4,5,213330.4,1e-05,9
"oPOEMS",4,5,223493.8,1e-05,10
"MA-LS-CHAIN",4,5,297446.6,1e-05,11
"nPOEMS",4,5,298661.4,1e-05,12
"(1 4^s) CMA-ES",4,5,731809,1e-05,13
"Nelder-Doerr",4,5,1468342,1e-05,14
"NBC-CMA",4,5,2114306,1e-05,15
"DEuniform",4,5,3278712,1e-05,16
"PSO",4,5,7014897,1e-05,17
"One-Fifth Variant3",4,5,34127900,1e-05,18
"Line Search - STEP",4,5,1897.867,1e-06,1
"Artificial Bee Colony",4,5,10409.4,1e-06,2
"DASA",4,5,10880.2,1e-06,3
"MOS",4,5,13116.53,1e-06,4
"POEMS",4,5,102962.2,1e-06,5
"ALPS",4,5,115049.3,1e-06,6
"VNS",4,5,171173.6,1e-06,7
"Simple GA",4,5,172437.4,1e-06,8
"oPOEMS",4,5,226968.9,1e-06,9
"PSO_Bounds",4,5,240495.9,1e-06,10
"MA-LS-CHAIN",4,5,297693,1e-06,11
"nPOEMS",4,5,333443.8,1e-06,12
"(1 4^s) CMA-ES",4,5,731884,1e-06,13
"Nelder-Doerr",4,5,1468378,1e-06,14
"NBC-CMA",4,5,2114483,1e-06,15
"DEuniform",4,5,3279276,1e-06,16
"PSO",4,5,7015716,1e-06,17
"One-Fifth Variant3",4,5,34127960,1e-06,18
"Line Search - STEP",4,5,1903.2,1e-07,1
"DASA",4,5,11179.4,1e-07,2
"Artificial Bee Colony",4,5,11353.67,1e-07,3
"MOS",4,5,13858.2,1e-07,4
"POEMS",4,5,108467.5,1e-07,5
"ALPS",4,5,119706.9,1e-07,6
"oPOEMS",4,5,235380.7,1e-07,7
"VNS",4,5,243042.4,1e-07,8
"PSO_Bounds",4,5,257783.5,1e-07,9
"MA-LS-CHAIN",4,5,297941.4,1e-07,10
"Simple GA",4,5,352638.1,1e-07,11
"nPOEMS",4,5,376925.3,1e-07,12
"(1 4^s) CMA-ES",4,5,731939,1e-07,13
"Nelder-Doerr",4,5,1468413,1e-07,14
"NBC-CMA",4,5,2114658,1e-07,15
"DEuniform",4,5,3279960,1e-07,16
"PSO",4,5,7016988,1e-07,17
"One-Fifth Variant3",4,5,34128040,1e-07,18
"DASA",4,5,11462.6,1e-08,1
"Artificial Bee Colony",4,5,12340.07,1e-08,2
"Line Search - STEP",4,5,14408.08,1e-08,3
"MOS",4,5,14419.87,1e-08,4
"POEMS",4,5,111487.6,1e-08,5
"ALPS",4,5,124194.6,1e-08,6
"oPOEMS",4,5,239794.1,1e-08,7
"PSO_Bounds",4,5,270271.1,1e-08,8
"MA-LS-CHAIN",4,5,298139.2,1e-08,9
"VNS",4,5,416566.8,1e-08,10
"nPOEMS",4,5,420286.3,1e-08,11
"Simple GA",4,5,523781.7,1e-08,12
"(1 4^s) CMA-ES",4,5,732026,1e-08,13
"Nelder-Doerr",4,5,1468445,1e-08,14
"NBC-CMA",4,5,2114783,1e-08,15
"DEuniform",4,5,3280390,1e-08,16
"PSO",4,5,7018429,1e-08,17
"One-Fifth Variant3",4,5,34128090,1e-08,18
"Line Search - STEP",4,10,3706.867,0.001,1
"Artificial Bee Colony",4,10,21227.2,0.001,2
"MOS",4,10,33566.6,0.001,3
"DASA",4,10,189989,0.001,4
"POEMS",4,10,337646.9,0.001,5
"oPOEMS",4,10,443097.7,0.001,6
"ALPS",4,10,634326.7,0.001,7
"PSO_Bounds",4,10,730041.9,0.001,8
"nPOEMS",4,10,1171060,0.001,9
"Simple GA",4,10,6715356,0.001,10
"MA-LS-CHAIN",4,10,7403327,0.001,11
"VNS",4,10,99465620,0.001,12
"Line Search - STEP",4,10,3735.267,1e-04,1
"Artificial Bee Colony",4,10,23610.67,1e-04,2
"MOS",4,10,35180.73,1e-04,3
"DASA",4,10,190655.3,1e-04,4
"POEMS",4,10,350941.4,1e-04,5
"oPOEMS",4,10,449450.2,1e-04,6
"ALPS",4,10,665130.2,1e-04,7
"PSO_Bounds",4,10,743076.2,1e-04,8
"nPOEMS",4,10,1238546,1e-04,9
"MA-LS-CHAIN",4,10,7404230,1e-04,10
"VNS",4,10,99482260,1e-04,11
"Line Search - STEP",4,10,3744.2,1e-05,1
"Artificial Bee Colony",4,10,25144.53,1e-05,2
"MOS",4,10,36812.13,1e-05,3
"DASA",4,10,191698.2,1e-05,4
"POEMS",4,10,361490,1e-05,5
"oPOEMS",4,10,461080,1e-05,6
"ALPS",4,10,697656.6,1e-05,7
"PSO_Bounds",4,10,790818.7,1e-05,8
"nPOEMS",4,10,1301967,1e-05,9
"MA-LS-CHAIN",4,10,7405021,1e-05,10
"VNS",4,10,99492080,1e-05,11
"Line Search - STEP",4,10,3771.133,1e-06,1
"Artificial Bee Colony",4,10,26718.33,1e-06,2
"MOS",4,10,38350.67,1e-06,3
"DASA",4,10,192845.2,1e-06,4
"POEMS",4,10,372119.2,1e-06,5
"oPOEMS",4,10,473407.5,1e-06,6
"ALPS",4,10,761635.5,1e-06,7
"PSO_Bounds",4,10,832900.5,1e-06,8
"nPOEMS",4,10,1370169,1e-06,9
"MA-LS-CHAIN",4,10,7405373,1e-06,10
"VNS",4,10,130783000,1e-06,11
"Artificial Bee Colony",4,10,28595.4,1e-07,1
"Line Search - STEP",4,10,28767.25,1e-07,2
"MOS",4,10,39986.47,1e-07,3
"DASA",4,10,194214.9,1e-07,4
